code,name,symbol
600000.SH,浦发银行,sh600000
600004.SH,白云机场,sh600004
600006.SH,东风股份,sh600006
600007.SH,中国国贸,sh600007
600008.SH,首创环保,sh600008
600009.SH,上海机场,sh600009
600010.SH,包钢股份,sh600010
600011.SH,华能国际,sh600011
600012.SH,皖通高速,sh600012
600015.SH,华夏银行,sh600015
600016.SH,民生银行,sh600016
600017.SH,日照港,sh600017
600018.SH,上港集团,sh600018
600019.SH,宝钢股份,sh600019
600020.SH,中原高速,sh600020
600021.SH,上海电力,sh600021
600022.SH,山东钢铁,sh600022
600023.SH,浙能电力,sh600023
600025.SH,华能水电,sh600025
600026.SH,中远海能,sh600026
600027.SH,华电国际,sh600027
600028.SH,中国石化,sh600028
600029.SH,南方航空,sh600029
600030.SH,中信证券,sh600030
600031.SH,三一重工,sh600031
600032.SH,浙江新能,sh600032
600033.SH,福建高速,sh600033
600035.SH,楚天高速,sh600035
600036.SH,招商银行,sh600036
600037.SH,歌华有线,sh600037
600038.SH,中直股份,sh600038
600039.SH,四川路桥,sh600039
600048.SH,保利发展,sh600048
600050.SH,中国联通,sh600050
600051.SH,宁波联合,sh600051
600052.SH,东望时代,sh600052
600053.SH,九鼎投资,sh600053
600054.SH,黄山旅游,sh600054
600055.SH,万东医疗,sh600055
600056.SH,中国医药,sh600056
600057.SH,厦门象屿,sh600057
600058.SH,五矿发展,sh600058
600059.SH,古越龙山,sh600059
600060.SH,海信视像,sh600060
600061.SH,国投资本,sh600061
600062.SH,华润双鹤,sh600062
600063.SH,皖维高新,sh600063
600064.SH,南京高科,sh600064
600066.SH,宇通客车,sh600066
600067.SH,冠城新材,sh600067
600071.SH,凤凰光学,sh600071
600072.SH,中船科技,sh600072
600073.SH,光明肉业,sh600073
600075.SH,新疆天业,sh600075
600076.SH,康欣新材,sh600076
600078.SH,澄星股份,sh600078
600079.SH,人福医药,sh600079
600080.SH,金花股份,sh600080
600081.SH,东风科技,sh600081
600082.SH,海泰发展,sh600082
600084.SH,中信尼雅,sh600084
600085.SH,同仁堂,sh600085
600088.SH,中视传媒,sh600088
600089.SH,特变电工,sh600089
600094.SH,大名城,sh600094
600095.SH,湘财股份,sh600095
600096.SH,云天化,sh600096
600097.SH,开创国际,sh600097
600098.SH,广州发展,sh600098
600099.SH,林海股份,sh600099
600100.SH,同方股份,sh600100
600101.SH,明星电力,sh600101
600103.SH,青山纸业,sh600103
600104.SH,上汽集团,sh600104
600105.SH,永鼎股份,sh600105
600106.SH,重庆路桥,sh600106
600107.SH,ST尔雅,sh600107
600108.SH,亚盛集团,sh600108
600109.SH,国金证券,sh600109
600110.SH,诺德股份,sh600110
600111.SH,北方稀土,sh600111
600113.SH,浙江东日,sh600113
600114.SH,东睦股份,sh600114
600115.SH,中国东航,sh600115
600116.SH,三峡水利,sh600116
600117.SH,西宁特钢,sh600117
600118.SH,中国卫星,sh600118
600119.SH,长江投资,sh600119
600120.SH,浙江东方,sh600120
600121.SH,郑州煤电,sh600121
600123.SH,兰花科创,sh600123
600125.SH,铁龙物流,sh600125
600126.SH,杭钢股份,sh600126
600127.SH,金健米业,sh600127
600128.SH,苏豪弘业,sh600128
600129.SH,太极集团,sh600129
600130.SH,*ST波导,sh600130
600131.SH,国网信通,sh600131
600132.SH,重庆啤酒,sh600132
600133.SH,东湖高新,sh600133
600135.SH,乐凯胶片,sh600135
600136.SH,ST明诚,sh600136
600137.SH,浪莎股份,sh600137
600138.SH,中青旅,sh600138
600141.SH,兴发集团,sh600141
600143.SH,金发科技,sh600143
600148.SH,长春一东,sh600148
600149.SH,廊坊发展,sh600149
600150.SH,中国船舶,sh600150
600151.SH,航天机电,sh600151
600152.SH,维科技术,sh600152
600153.SH,建发股份,sh600153
600155.SH,华创云信,sh600155
600156.SH,华升股份,sh600156
600157.SH,永泰能源,sh600157
600158.SH,中体产业,sh600158
600159.SH,大龙地产,sh600159
600160.SH,巨化股份,sh600160
600161.SH,天坛生物,sh600161
600162.SH,香江控股,sh600162
600163.SH,中闽能源,sh600163
600165.SH,*ST宁科,sh600165
600166.SH,福田汽车,sh600166
600167.SH,联美控股,sh600167
600168.SH,武汉控股,sh600168
600169.SH,ST太重,sh600169
600170.SH,上海建工,sh600170
600171.SH,上海贝岭,sh600171
600172.SH,黄河旋风,sh600172
600173.SH,卧龙新能,sh600173
600176.SH,中国巨石,sh600176
600177.SH,雅戈尔,sh600177
600178.SH,东安动力,sh600178
600179.SH,安通控股,sh600179
600180.SH,瑞茂通,sh600180
600182.SH,S佳通,sh600182
600183.SH,生益科技,sh600183
600184.SH,光电股份,sh600184
600185.SH,珠免集团,sh600185
600186.SH,莲花控股,sh600186
600187.SH,国中水务,sh600187
600188.SH,兖矿能源,sh600188
600189.SH,泉阳泉,sh600189
600191.SH,华资实业,sh600191
600192.SH,长城电工,sh600192
600193.SH,*ST创兴,sh600193
600195.SH,中牧股份,sh600195
600196.SH,复星医药,sh600196
600197.SH,伊力特,sh600197
600198.SH,大唐电信,sh600198
600199.SH,金种子酒,sh600199
600200.SH,*ST苏吴,sh600200
600201.SH,生物股份,sh600201
600202.SH,哈空调,sh600202
600203.SH,福日电子,sh600203
600206.SH,有研新材,sh600206
600207.SH,安彩高科,sh600207
600208.SH,衢州发展,sh600208
600210.SH,紫江企业,sh600210
600211.SH,西藏药业,sh600211
600212.SH,绿能慧充,sh600212
600215.SH,派斯林,sh600215
600216.SH,浙江医药,sh600216
600217.SH,中再资环,sh600217
600218.SH,全柴动力,sh600218
600219.SH,南山铝业,sh600219
600221.SH,海航控股,sh600221
600222.SH,太龙药业,sh600222
600223.SH,福瑞达,sh600223
600226.SH,亨通股份,sh600226
600227.SH,赤天化,sh600227
600228.SH,*ST返利,sh600228
600229.SH,城市传媒,sh600229
600230.SH,沧州大化,sh600230
600231.SH,凌钢股份,sh600231
600232.SH,金鹰股份,sh600232
600233.SH,圆通速递,sh600233
600234.SH,科新发展,sh600234
600235.SH,民丰特纸,sh600235
600236.SH,桂冠电力,sh600236
600237.SH,铜峰电子,sh600237
600238.SH,*ST椰岛,sh600238
600239.SH,云南城投,sh600239
600241.SH,时代万恒,sh600241
600243.SH,*ST海华,sh600243
600246.SH,万通发展,sh600246
600248.SH,陕建股份,sh600248
600249.SH,两面针,sh600249
600250.SH,南京商旅,sh600250
600251.SH,冠农股份,sh600251
600252.SH,中恒集团,sh600252
600255.SH,鑫科材料,sh600255
600256.SH,广汇能源,sh600256
600257.SH,大湖股份,sh600257
600258.SH,首旅酒店,sh600258
600259.SH,广晟有色,sh600259
600261.SH,阳光照明,sh600261
600262.SH,北方股份,sh600262
600265.SH,ST景谷,sh600265
600266.SH,城建发展,sh600266
600267.SH,海正药业,sh600267
600268.SH,国电南自,sh600268
600269.SH,赣粤高速,sh600269
600271.SH,航天信息,sh600271
600272.SH,开开实业,sh600272
600273.SH,嘉化能源,sh600273
600276.SH,恒瑞医药,sh600276
600278.SH,东方创业,sh600278
600279.SH,重庆港,sh600279
600280.SH,中央商场,sh600280
600281.SH,华阳新材,sh600281
600282.SH,南钢股份,sh600282
600283.SH,钱江水利,sh600283
600284.SH,浦东建设,sh600284
600285.SH,羚锐制药,sh600285
600287.SH,苏豪时尚,sh600287
600288.SH,大恒科技,sh600288
600289.SH,ST信通,sh600289
600292.SH,远达环保,sh600292
600293.SH,三峡新材,sh600293
600295.SH,鄂尔多斯,sh600295
600298.SH,安琪酵母,sh600298
600299.SH,安迪苏,sh600299
600300.SH,维维股份,sh600300
600301.SH,华锡有色,sh600301
600302.SH,标准股份,sh600302
600303.SH,曙光股份,sh600303
600305.SH,恒顺醋业,sh600305
600307.SH,酒钢宏兴,sh600307
600308.SH,华泰股份,sh600308
600309.SH,万华化学,sh600309
600310.SH,广西能源,sh600310
600312.SH,平高电气,sh600312
600313.SH,农发种业,sh600313
600315.SH,上海家化,sh600315
600316.SH,洪都航空,sh600316
600318.SH,新力金融,sh600318
600319.SH,亚星化学,sh600319
600320.SH,振华重工,sh600320
600322.SH,津投城开,sh600322
600323.SH,瀚蓝环境,sh600323
600325.SH,华发股份,sh600325
600326.SH,西藏天路,sh600326
600327.SH,大东方,sh600327
600328.SH,中盐化工,sh600328
600329.SH,达仁堂,sh600329
600330.SH,天通股份,sh600330
600331.SH,宏达股份,sh600331
600332.SH,白云山,sh600332
600333.SH,长春燃气,sh600333
600335.SH,国机汽车,sh600335
600336.SH,澳柯玛,sh600336
600337.SH,美克家居,sh600337
600338.SH,西藏珠峰,sh600338
600339.SH,中油工程,sh600339
600340.SH,华夏幸福,sh600340
600343.SH,航天动力,sh600343
600345.SH,长江通信,sh600345
600346.SH,恒力石化,sh600346
600348.SH,华阳股份,sh600348
600350.SH,山东高速,sh600350
600351.SH,亚宝药业,sh600351
600352.SH,浙江龙盛,sh600352
600353.SH,旭光电子,sh600353
600354.SH,敦煌种业,sh600354
600355.SH,*ST精伦,sh600355
600356.SH,恒丰纸业,sh600356
600358.SH,ST联合,sh600358
600359.SH,新农开发,sh600359
600360.SH,*ST华微,sh600360
600361.SH,创新新材,sh600361
600362.SH,江西铜业,sh600362
600363.SH,联创光电,sh600363
600365.SH,ST通葡,sh600365
600366.SH,宁波韵升,sh600366
600367.SH,红星发展,sh600367
600368.SH,五洲交通,sh600368
600369.SH,西南证券,sh600369
600370.SH,三房巷,sh600370
600371.SH,万向德农,sh600371
600372.SH,中航机载,sh600372
600373.SH,中文传媒,sh600373
600375.SH,汉马科技,sh600375
600376.SH,首开股份,sh600376
600377.SH,宁沪高速,sh600377
600378.SH,昊华科技,sh600378
600379.SH,宝光股份,sh600379
600380.SH,健康元,sh600380
600381.SH,*ST春天,sh600381
600382.SH,广东明珠,sh600382
600383.SH,金地集团,sh600383
600386.SH,北巴传媒,sh600386
600388.SH,龙净环保,sh600388
600389.SH,江山股份,sh600389
600390.SH,五矿资本,sh600390
600391.SH,航发科技,sh600391
600392.SH,盛和资源,sh600392
600395.SH,盘江股份,sh600395
600396.SH,华电辽能,sh600396
600397.SH,江钨装备,sh600397
600398.SH,海澜之家,sh600398
600399.SH,抚顺特钢,sh600399
600400.SH,红豆股份,sh600400
600403.SH,大有能源,sh600403
600405.SH,动力源,sh600405
600406.SH,国电南瑞,sh600406
600408.SH,安泰集团,sh600408
600409.SH,三友化工,sh600409
600410.SH,华胜天成,sh600410
600415.SH,小商品城,sh600415
600416.SH,湘电股份,sh600416
600418.SH,江淮汽车,sh600418
600419.SH,天润乳业,sh600419
600420.SH,国药现代,sh600420
600421.SH,*ST华嵘,sh600421
600422.SH,昆药集团,sh600422
600423.SH,柳化股份,sh600423
600425.SH,青松建化,sh600425
600426.SH,华鲁恒升,sh600426
600428.SH,中远海特,sh600428
600429.SH,三元股份,sh600429
600433.SH,冠豪高新,sh600433
600435.SH,北方导航,sh600435
600436.SH,片仔癀,sh600436
600438.SH,通威股份,sh600438
600439.SH,瑞贝卡,sh600439
600444.SH,国机通用,sh600444
600446.SH,金证股份,sh600446
600448.SH,华纺股份,sh600448
600449.SH,宁夏建材,sh600449
600452.SH,涪陵电力,sh600452
600455.SH,博通股份,sh600455
600456.SH,宝钛股份,sh600456
600458.SH,时代新材,sh600458
600459.SH,贵研铂业,sh600459
600460.SH,士兰微,sh600460
600461.SH,洪城环境,sh600461
600463.SH,空港股份,sh600463
600467.SH,好当家,sh600467
600468.SH,百利电气,sh600468
600469.SH,风神股份,sh600469
600470.SH,六国化工,sh600470
600475.SH,华光环能,sh600475
600476.SH,湘邮科技,sh600476
600477.SH,杭萧钢构,sh600477
600478.SH,科力远,sh600478
600479.SH,千金药业,sh600479
600480.SH,凌云股份,sh600480
600481.SH,双良节能,sh600481
600482.SH,XD中国动,sh600482
600483.SH,福能股份,sh600483
600486.SH,扬农化工,sh600486
600487.SH,亨通光电,sh600487
600488.SH,津药药业,sh600488
600489.SH,中金黄金,sh600489
600490.SH,鹏欣资源,sh600490
600491.SH,龙元建设,sh600491
600493.SH,凤竹纺织,sh600493
600495.SH,晋西车轴,sh600495
600496.SH,精工钢构,sh600496
600497.SH,驰宏锌锗,sh600497
600498.SH,烽火通信,sh600498
600499.SH,科达制造,sh600499
600500.SH,中化国际,sh600500
600501.SH,航天晨光,sh600501
600502.SH,安徽建工,sh600502
600503.SH,华丽家族,sh600503
600505.SH,西昌电力,sh600505
600506.SH,统一股份,sh600506
600507.SH,方大特钢,sh600507
600508.SH,上海能源,sh600508
600509.SH,天富能源,sh600509
600510.SH,黑牡丹,sh600510
600511.SH,国药股份,sh600511
600512.SH,腾达建设,sh600512
600513.SH,联环药业,sh600513
600515.SH,海南机场,sh600515
600516.SH,方大炭素,sh600516
600517.SH,国网英大,sh600517
600518.SH,康美药业,sh600518
600519.SH,贵州茅台,sh600519
600520.SH,三佳科技,sh600520
600521.SH,华海药业,sh600521
600522.SH,中天科技,sh600522
600523.SH,贵航股份,sh600523
600525.SH,ST长园,sh600525
600526.SH,菲达环保,sh600526
600527.SH,江南高纤,sh600527
600528.SH,中铁工业,sh600528
600529.SH,山东药玻,sh600529
600530.SH,交大昂立,sh600530
600531.SH,豫光金铅,sh600531
600533.SH,栖霞建设,sh600533
600535.SH,天士力,sh600535
600536.SH,中国软件,sh600536
600537.SH,亿晶光电,sh600537
600538.SH,国发股份,sh600538
600539.SH,狮头股份,sh600539
600540.SH,新赛股份,sh600540
600543.SH,莫高股份,sh600543
600545.SH,卓郎智能,sh600545
600546.SH,山煤国际,sh600546
600547.SH,山东黄金,sh600547
600548.SH,深高速,sh600548
